Source,Target,airline,country,airline_name
MNL,SIN,3K,Singapore,Jetstar Asia Airways
PEN,SIN,3K,Singapore,Jetstar Asia Airways
PER,SIN,3K,Singapore,Jetstar Asia Airways
PNH,SIN,3K,Singapore,Jetstar Asia Airways
REP,SIN,3K,Singapore,Jetstar Asia Airways
RGN,SIN,3K,Singapore,Jetstar Asia Airways
SGN,SIN,3K,Singapore,Jetstar Asia Airways
SIN,BKK,3K,Singapore,Jetstar Asia Airways
SIN,DRW,3K,Singapore,Jetstar Asia Airways
SIN,HAK,3K,Singapore,Jetstar Asia Airways
SIN,HGH,3K,Singapore,Jetstar Asia Airways
SIN,HKG,3K,Singapore,Jetstar Asia Airways
SIN,HKT,3K,Singapore,Jetstar Asia Airways
SIN,KUL,3K,Singapore,Jetstar Asia Airways
SIN,MNL,3K,Singapore,Jetstar Asia Airways
SIN,PEN,3K,Singapore,Jetstar Asia Airways
SIN,PER,3K,Singapore,Jetstar Asia Airways
SIN,PNH,3K,Singapore,Jetstar Asia Airways
SIN,REP,3K,Singapore,Jetstar Asia Airways
SIN,RGN,3K,Singapore,Jetstar Asia Airways
SIN,SGN,3K,Singapore,Jetstar Asia Airways
SIN,SWA,3K,Singapore,Jetstar Asia Airways
SIN,TPE,3K,Singapore,Jetstar Asia Airways
SWA,SIN,3K,Singapore,Jetstar Asia Airways
TPE,KIX,3K,Singapore,Jetstar Asia Airways
TPE,SIN,3K,Singapore,Jetstar Asia Airways
ACH,EBA,3L,Austria,Intersky
DRS,ZRH,3L,Austria,Intersky
DUS,FDH,3L,Austria,Intersky
EBA,ACH,3L,Austria,Intersky
EBA,FDH,3L,Austria,Intersky
EBA,MUC,3L,Austria,Intersky
EBA,ZRH,3L,Austria,Intersky
FDH,DUS,3L,Austria,Intersky
FDH,EBA,3L,Austria,Intersky
FDH,HAM,3L,Austria,Intersky
FDH,OLB,3L,Austria,Intersky
FDH,TXL,3L,Austria,Intersky
FDH,ZAD,3L,Austria,Intersky
FMM,NAP,3L,Austria,Intersky
GRZ,ZRH,3L,Austria,Intersky
HAM,FDH,3L,Austria,Intersky
MUC,EBA,3L,Austria,Intersky
NAP,FMM,3L,Austria,Intersky
OLB,FDH,3L,Austria,Intersky
SZG,ZRH,3L,Austria,Intersky
TXL,FDH,3L,Austria,Intersky
ZAD,FDH,3L,Austria,Intersky
ZRH,DRS,3L,Austria,Intersky
ZRH,EBA,3L,Austria,Intersky
ZRH,GRZ,3L,Austria,Intersky
ZRH,SZG,3L,Austria,Intersky
ATL,LWB,3M,United States,Silver Airways (3M)
ATL,MCN,3M,United States,Silver Airways (3M)
ATL,MEI,3M,United States,Silver Airways (3M)
ATL,MSL,3M,United States,Silver Airways (3M)
ATL,PIB,3M,United States,Silver Airways (3M)
ATL,TUP,3M,United States,Silver Airways (3M)
BIM,FLL,3M,United States,Silver Airways (3M)
ELH,FLL,3M,United States,Silver Airways (3M)
ELH,PBI,3M,United States,Silver Airways (3M)
EYW,FLL,3M,United States,Silver Airways (3M)
EYW,RSW,3M,United States,Silver Airways (3M)
EYW,TPA,3M,United States,Silver Airways (3M)
FLL,BIM,3M,United States,Silver Airways (3M)
FLL,ELH,3M,United States,Silver Airways (3M)
FLL,EYW,3M,United States,Silver Airways (3M)
FLL,FPO,3M,United States,Silver Airways (3M)
FLL,GGT,3M,United States,Silver Airways (3M)
FLL,GHB,3M,United States,Silver Airways (3M)
FLL,MCO,3M,United States,Silver Airways (3M)
FLL,MHH,3M,United States,Silver Airways (3M)
FLL,TCB,3M,United States,Silver Airways (3M)
FLL,TPA,3M,United States,Silver Airways (3M)
FPO,FLL,3M,United States,Silver Airways (3M)
GGT,FLL,3M,United States,Silver Airways (3M)
GGT,GHB,3M,United States,Silver Airways (3M)
GHB,FLL,3M,United States,Silver Airways (3M)
GLH,TUP,3M,United States,Silver Airways (3M)
GNV,MCO,3M,United States,Silver Airways (3M)
GNV,TPA,3M,United States,Silver Airways (3M)
JAX,MHH,3M,United States,Silver Airways (3M)
JAX,TPA,3M,United States,Silver Airways (3M)
LWB,ATL,3M,United States,Silver Airways (3M)
MCN,ATL,3M,United States,Silver Airways (3M)
MCN,MCO,3M,United States,Silver Airways (3M)
MCO,FLL,3M,United States,Silver Airways (3M)
MCO,GNV,3M,United States,Silver Airways (3M)
MCO,MCN,3M,United States,Silver Airways (3M)
MCO,MHH,3M,United States,Silver Airways (3M)
MCO,PNS,3M,United States,Silver Airways (3M)
MCO,RSW,3M,United States,Silver Airways (3M)
MCO,TLH,3M,United States,Silver Airways (3M)
MEI,ATL,3M,United States,Silver Airways (3M)
MHH,FLL,3M,United States,Silver Airways (3M)
MHH,JAX,3M,United States,Silver Airways (3M)
MHH,MCO,3M,United States,Silver Airways (3M)
MHH,PBI,3M,United States,Silver Airways (3M)
MSL,ATL,3M,United States,Silver Airways (3M)
PBI,ELH,3M,United States,Silver Airways (3M)
PBI,MHH,3M,United States,Silver Airways (3M)
PBI,TPA,3M,United States,Silver Airways (3M)
PIB,ATL,3M,United States,Silver Airways (3M)
PNS,MCO,3M,United States,Silver Airways (3M)
